id;name;hc_desc;postion;enabled
1;bifurcated orchid generate;Trinidad and Tobago;PCI salmon multi-byte;true
2;Soft Sleek Rubber Table;convergence Auto Loan Account facilitate;Nevada;false
3;Licensed Plastic Bike;Small Garden;Metal vertical parse;true
4;Direct Generic Soft Cheese;Architect visionary Ball;Home virtual;true
5;vertical;index;Sausages Handmade Refined Metal Car;true
6;Dynamic virtual Salad;deposit value-added Self-enabling;Garden Intelligent Rubber Fish;false
7;application Licensed;Reactive;customer loyalty Cambridgeshire Personal Loan Account;true
8;Fresh SAS Pants;salmon;Place multi-byte hack;true
9;Intelligent Granite Gloves;Agent deliver Mills;Electronics Rubber deposit;true
10;indexing;Unbranded Granite Cheese Saint Helena Pound;Steel Guinea Franc IB;true
